2026-07-21 19:59:12,382 | INFO | tool_registry | [----------] Registrando tool servidor: append_file
2026-07-21 19:59:12,382 | INFO | tool_registry | [----------] Registrando tool servidor: delete_file
2026-07-21 19:59:12,382 | INFO | tool_registry | [----------] Registrando tool servidor: delete_directory
2026-07-21 19:59:12,382 | INFO | tool_registry | [----------] Registrando tool servidor: move_file
2026-07-21 19:59:12,382 | INFO | tool_registry | [----------] Registrando tool servidor: rename_file
2026-07-21 19:59:12,382 | INFO | tool_registry | [----------] Registrando tool servidor: replace_file_content
2026-07-21 19:59:12,382 | INFO | tool_registry | [----------] Registrando esquema de args (Fase 1): create_file
2026-07-21 19:59:12,382 | INFO | tool_registry | [----------] Registrando esquema de args (Fase 1): read_file
2026-07-21 19:59:12,382 | INFO | tool_registry | [----------] Registrando esquema de args (Fase 1): append_file
2026-07-21 19:59:12,382 | INFO | tool_registry | [----------] Registrando esquema de args (Fase 1): delete_file
2026-07-21 19:59:12,382 | INFO | tool_registry | [----------] Registrando esquema de args (Fase 1): list_directory
2026-07-21 19:59:12,383 | INFO | tool_registry | [----------] Registrando esquema de args (Fase 1): replace_file_content
2026-07-21 20:26:37,905 | INFO | tool_registry | [----------] coerce_and_validate(create_file): recuperado tras heurística — campos desconocidos ignorados para 'create_file': ['output_path']; campo 'path' rellenado desde clave no reconocida 'output_path' (modo permisivo, heurística por similitud de nombre)
2026-07-21 20:26:37,910 | INFO | tool_registry | [----------] coerce_and_validate(create_file): campos desconocidos ignorados para 'create_file': ['campo_inventado']
2026-07-21 20:26:37,944 | WARNING | tool_registry | [----------] Tool servidor inexistente this_tool_does_not_exist
2026-07-21 21:07:38,179 | INFO | tool_registry | [----------] Cargando plugin app.tools.client.browser_tools
2026-07-21 21:07:38,180 | INFO | tool_registry | [----------] Registrando tool servidor: browser_navigate
2026-07-21 21:07:38,180 | INFO | tool_registry | [----------] Registrando tool servidor: browser_click
2026-07-21 21:07:38,180 | INFO | tool_registry | [----------] Registrando tool servidor: browser_fill
2026-07-21 21:07:38,180 | INFO | tool_registry | [----------] Registrando tool servidor: browser_screenshot
2026-07-21 21:07:38,181 | INFO | tool_registry | [----------] Registrando tool servidor: browser_get_text
2026-07-21 21:07:38,181 | INFO | tool_registry | [----------] Registrando tool servidor: browser_inspect
2026-07-21 21:07:38,181 | INFO | tool_registry | [----------] Registrando tool servidor: browser_search
2026-07-21 21:07:38,181 | INFO | tool_registry | [----------] Registrando tool servidor: browser_close
2026-07-21 21:07:38,182 | INFO | tool_registry | [----------] Cargando plugin app.tools.client.system_tools
2026-07-21 21:07:38,183 | INFO | tool_registry | [----------] Registrando tool servidor: system_info
2026-07-21 21:07:38,183 | INFO | tool_registry | [----------] Registrando tool servidor: open_application
2026-07-21 21:07:38,183 | INFO | tool_registry | [----------] Registrando tool servidor: close_application
2026-07-21 21:07:38,183 | INFO | tool_registry | [----------] Registrando tool servidor: get_current_datetime
2026-07-21 21:07:38,183 | INFO | tool_registry | [----------] Registrando tool servidor: open_url
2026-07-21 21:07:38,183 | INFO | tool_registry | [----------] Registrando tool servidor: screenshot
2026-07-21 21:07:38,183 | INFO | tool_registry | [----------] Registrando tool servidor: mouse_move
2026-07-21 21:07:38,184 | INFO | tool_registry | [----------] Registrando tool servidor: mouse_click
2026-07-21 21:07:38,184 | INFO | tool_registry | [----------] Registrando tool servidor: mouse_drag
2026-07-21 21:07:38,184 | INFO | tool_registry | [----------] Registrando tool servidor: keyboard_type
2026-07-21 21:07:38,184 | INFO | tool_registry | [----------] Registrando tool servidor: keyboard_hotkey
2026-07-21 21:07:38,184 | INFO | tool_registry | [----------] Registrando tool servidor: ocr_screenshot
2026-07-21 21:07:38,184 | INFO | tool_registry | [----------] Registrando tool servidor: ocr_image
2026-07-21 21:07:38,185 | INFO | tool_registry | [----------] Registrando tool servidor: find_on_screen
2026-07-21 21:07:38,185 | INFO | tool_registry | [----------] Registrando tool servidor: window_list
2026-07-21 21:07:38,185 | INFO | tool_registry | [----------] Registrando tool servidor: window_focus
2026-07-21 21:07:38,185 | INFO | tool_registry | [----------] Registrando tool servidor: window_close
2026-07-21 21:07:38,185 | INFO | tool_registry | [----------] Registrando tool servidor: run_command
2026-07-21 21:07:38,187 | INFO | tool_registry | [----------] Cargando plugin app.tools.server.instagram_tools
2026-07-21 21:07:38,187 | INFO | tool_registry | [----------] Registrando tool servidor: instagram_post_media
2026-07-21 21:07:38,187 | INFO | tool_registry | [----------] Registrando tool servidor: instagram_get_engagement
2026-07-21 21:07:38,189 | INFO | tool_registry | [----------] Cargando plugin app.tools.server.comfy_tools
2026-07-21 21:07:38,189 | INFO | tool_registry | [----------] Registrando tool servidor: comfy_load_workflow
2026-07-21 21:07:38,189 | INFO | tool_registry | [----------] Registrando tool servidor: comfy_generate_image
2026-07-21 21:07:38,190 | INFO | tool_registry | [----------] Cargando plugin app.tools.server.mail_tools
2026-07-21 21:07:38,190 | INFO | tool_registry | [----------] Registrando tool servidor: mail_receive_mock_emails
2026-07-21 21:07:38,190 | INFO | tool_registry | [----------] Registrando tool servidor: mail_classify_emails
2026-07-21 21:07:38,191 | INFO | tool_registry | [----------] Registrando tool servidor: mail_get_unread_summary
2026-07-21 21:07:38,191 | INFO | tool_registry | [----------] Registrando tool servidor: mail_list_emails
2026-07-21 21:07:38,191 | INFO | tool_registry | [----------] Registrando tool servidor: mail_get_email
2026-07-21 21:07:38,191 | INFO | tool_registry | [----------] Registrando tool servidor: mail_open_ui
2026-07-21 21:07:38,191 | INFO | tool_registry | [----------] Registrando tool servidor: mail_close_ui
2026-07-21 21:07:38,191 | INFO | tool_registry | [----------] Registrando tool servidor: mail_send_email
2026-07-21 21:07:38,191 | INFO | tool_registry | [----------] Registrando tool servidor: mail_delete_email
2026-07-21 21:07:38,192 | INFO | tool_registry | [----------] Registrando tool servidor: mail_reply_email
2026-07-21 21:07:38,192 | INFO | tool_registry | [----------] Registrando tool servidor: mail_forward_email
2026-07-21 21:07:38,192 | INFO | tool_registry | [----------] Registrando tool servidor: mail_generate_draft
2026-07-21 21:07:38,192 | INFO | tool_registry | [----------] Registrando tool servidor: mail_set_invoice_folder
2026-07-21 21:07:38,193 | INFO | tool_registry | [----------] Cargando plugin app.tools.server.memory_tools
