2026-06-09 09:28:11,870 | INFO | tools | [----------] Transcripción Whisper: Alfonso, buenos días.
2026-06-09 09:28:11,871 | INFO | tools | [----------] Wake word 'alfonso' DETECTADA en: 'alfonso, buenos días.'
2026-06-09 09:29:07,360 | INFO | tools | [----------] Detectando wake word 'alfonso' en audio subido: audio.wav (96044 bytes)
2026-06-09 09:29:07,360 | INFO | tools | [----------] Transcribiendo audio subido: audio.wav (96044 bytes)
2026-06-09 09:29:19,702 | INFO | tools | [----------] Transcripción Whisper: Alfonso, abre Google.
2026-06-09 09:29:19,704 | INFO | tools | [----------] Wake word 'alfonso' DETECTADA en: 'alfonso, abre google.'
2026-06-09 09:30:27,488 | INFO | tools | [----------] Detectando wake word 'alfonso' en audio subido: audio.wav (96044 bytes)
2026-06-09 09:30:27,489 | INFO | tools | [----------] Transcribiendo audio subido: audio.wav (96044 bytes)
2026-06-09 09:31:10,382 | INFO | tools | [----------] Transcripción Whisper: Bueno, ahoraisten 5 foxes.
2026-06-09 09:31:10,386 | INFO | tools | [----------] Wake word 'alfonso' no detectada en: 'bueno, ahoraisten 5 foxes.'
2026-06-09 09:37:23,294 | INFO | tools | [----------] Detectando wake word 'alfonso' en audio subido: audio.wav (96044 bytes)
2026-06-09 09:37:23,295 | INFO | tools | [----------] Transcribiendo audio subido: audio.wav (96044 bytes)
2026-06-09 09:38:27,551 | INFO | tools | [----------] Transcripción Whisper: Alfonso, buenos días.
2026-06-09 09:38:27,553 | INFO | tools | [----------] Wake word 'alfonso' DETECTADA en: 'alfonso, buenos días.'
2026-06-09 09:38:46,124 | INFO | tools | [----------] Detectando wake word 'alfonso' en audio subido: audio.wav (96044 bytes)
2026-06-09 09:38:46,124 | INFO | tools | [----------] Transcribiendo audio subido: audio.wav (96044 bytes)
2026-06-09 09:39:16,834 | INFO | tools | [----------] Transcripción Whisper: Alfonso, buenos días.
2026-06-09 09:39:16,835 | INFO | tools | [----------] Wake word 'alfonso' DETECTADA en: 'alfonso, buenos días.'
2026-06-09 09:41:33,914 | INFO | tools | [----------] Detectando wake word 'alfonso' en audio subido: audio.wav (96044 bytes)
2026-06-09 09:41:33,914 | INFO | tools | [----------] Transcribiendo audio subido: audio.wav (96044 bytes)
2026-06-09 09:42:47,601 | INFO | tools | [----------] Transcripción Whisper: Alfonso, buenos días.
2026-06-09 09:42:47,605 | INFO | tools | [----------] Wake word 'alfonso' DETECTADA en: 'alfonso, buenos días.'
2026-06-09 09:43:08,139 | INFO | tools | [----------] Detectando wake word 'alfonso' en audio subido: audio.wav (96044 bytes)
2026-06-09 09:43:08,139 | INFO | tools | [----------] Transcribiendo audio subido: audio.wav (96044 bytes)
2026-06-09 09:43:51,544 | INFO | tools | [----------] Transcripción Whisper: Alfonso, buenos días.
2026-06-09 09:43:51,560 | INFO | tools | [----------] Wake word 'alfonso' DETECTADA en: 'alfonso, buenos días.'
2026-06-09 09:45:00,139 | INFO | tools | [----------] Detectando wake word 'alfonso' en audio subido: audio.wav (96044 bytes)
2026-06-09 09:45:00,139 | INFO | tools | [----------] Transcribiendo audio subido: audio.wav (96044 bytes)
2026-06-09 09:45:20,438 | INFO | tools | [----------] Transcripción Whisper: Abre Google.
2026-06-09 09:45:20,439 | INFO | tools | [----------] Wake word 'alfonso' no detectada en: 'abre google.'
