2026-07-07 17:24:10,934 | INFO | app | [----------] Playwright cerrado limpiamente
2026-07-07 17:24:10,934 | INFO | app | [----------] Alfonso detenido
2026-07-07 17:24:23,029 | INFO | app | [30497877-7446-4e24-a54c-cc0aa603edc1] HTTP POST /mail/send
2026-07-07 17:24:23,036 | INFO | app | [b2356ef9-2e64-48ad-958a-dccb70139027] HTTP DELETE /mail/emails/1
2026-07-07 17:24:23,042 | INFO | app | [4bd16998-2bc5-44a1-9fac-e011c5031323] HTTP POST /mail/emails/1/reply
2026-07-07 17:24:23,048 | INFO | app | [a08ba8d2-28b6-4308-8742-c861201ec364] HTTP POST /mail/emails/1/forward
2026-07-07 17:24:23,053 | INFO | app | [6556143f-0a87-4d90-a482-377be918bc47] HTTP GET /mail/emails/1/draft
2026-07-07 17:24:36,551 | INFO | app | [----------] Logs en /home/luisd/Alfonso/logs
2026-07-07 17:24:36,551 | INFO | app | [----------] Arrancando Alfonso — audio delegado al cliente local
2026-07-07 17:24:36,551 | INFO | app | [----------] Inicio del bridge omitido en entorno de test
2026-07-07 17:24:36,554 | INFO | app | [----------] Prompts de sistema precargados (chat + tool)
2026-07-07 17:24:36,554 | INFO | app | [----------] Precalentamiento de modelo omitido en entorno de test
2026-07-07 17:24:36,554 | INFO | app | [----------] Alfonso listo
2026-07-07 17:24:36,558 | INFO | app | [e9364fc6-bf7c-46c1-ad1e-f090f8f63063] HTTP GET /health
2026-07-07 17:24:36,564 | INFO | app | [6e78009c-e43b-4157-86a4-2dce79b01ead] HTTP GET /metrics
2026-07-07 17:24:36,572 | INFO | app | [397b989a-a88e-4184-906c-e7caec655403] HTTP POST /chat
2026-07-07 17:24:36,575 | INFO | app | [397b989a-a88e-4184-906c-e7caec655403] Solicitud /chat recibida
2026-07-07 17:24:36,575 | INFO | app | [397b989a-a88e-4184-906c-e7caec655403] SESSION_ID: test_sess
2026-07-07 17:24:36,575 | INFO | app | [397b989a-a88e-4184-906c-e7caec655403] USER MESSAGE: hola
2026-07-07 17:24:36,576 | INFO | app | [397b989a-a88e-4184-906c-e7caec655403] Solicitud /chat procesada con estado: chat
2026-07-07 17:24:36,576 | INFO | app | [397b989a-a88e-4184-906c-e7caec655403] LATENCY: 0.00s
2026-07-07 17:24:36,582 | INFO | app | [ff535e0e-8256-473f-af27-83827a4a3f53] HTTP POST /chat
2026-07-07 17:24:36,598 | INFO | app | [acd5a298-b27a-48c6-8f09-8b70fcde8f2e] HTTP GET /tools
2026-07-07 17:24:36,605 | INFO | app | [4c89d928-b4c4-42b7-bb96-6e6eac9c6089] HTTP GET /memory
2026-07-07 17:24:36,634 | INFO | app | [9e8c4db4-18c1-4fe9-b161-99b957c8a65a] HTTP GET /memory/test_session
2026-07-07 17:24:36,641 | INFO | app | [3ebafd55-5a20-4d3c-9bcc-ecf010e2e8e3] HTTP DELETE /memory/test_session
2026-07-07 17:24:36,650 | INFO | app | [e9ae018d-6be0-485f-b4c9-76a95a17d0cf] HTTP POST /mail/emails/seed
2026-07-07 17:24:36,665 | INFO | app | [5388205f-3655-457e-b585-a2de1ca775a8] HTTP GET /mail/emails
2026-07-07 17:24:36,672 | INFO | app | [3a70fec5-ff6d-434a-8e8e-a69e02b77d02] HTTP GET /mail/emails/7
2026-07-07 17:24:36,676 | INFO | app | [d9442d46-8fd0-4a0d-8f9d-83390e567667] HTTP POST /mail/emails/7/read
2026-07-07 17:24:36,680 | INFO | app | [----------] Detención del bridge omitida en entorno de test
2026-07-07 17:24:36,680 | INFO | app | [----------] Playwright cerrado limpiamente
2026-07-07 17:24:36,681 | INFO | app | [----------] Alfonso detenido
2026-07-07 17:34:38,236 | INFO | app | [----------] Logs en /home/luisd/Alfonso/logs
2026-07-07 17:34:38,236 | INFO | app | [----------] Arrancando Alfonso — audio delegado al cliente local
2026-07-07 17:34:38,260 | INFO | app | [----------] Prompts de sistema precargados (chat + tool)
2026-07-07 17:36:08,032 | INFO | app | [----------] Modelo precalentado
2026-07-07 17:36:08,033 | INFO | app | [----------] Alfonso listo
2026-07-07 17:40:11,110 | INFO | app | [04826415-3152-4b22-b9c5-ce3aeb1e2f56] HTTP GET /metrics
